-117.018899,32.637177,24 Hour Fitness - Bonita Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00084; Open Date: 9/13/1999 12:00:00 AM,(619) 656-0018,870 Amena Court,Chula Vista,CA,91910,USA
-121.309799,38.6863,24 Hour Fitness - Citrus Heights Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Training Club 24 - SNOW*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00523; Open Date: 10/1/1983 12:00:00 AM,(916) 722-7588,6633 Auburn Blvd,Citrus Heights,CA,95621,USA
-117.931599,33.9935,24 Hour Fitness - Puente Hills Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Kids' Club*; Outdoor Lap Pool; Personal Training*; Sauna; Steam Room; TRX Suspension Training; Towel Service*; Training Club 24 - IGNITE*; Volleyball; Whirlpool; Club Number: 00058; Open Date: 2/18/2003 12:00:00 AM,(626) 839-1700,1600 S. Azusa Avenue,City of Industry,CA,91748,USA
-117.836939,34.025867,24 Hour Fitness - City of Industry Cardio Equipment; Free Weights; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Whirlpool; Club Number: 00860; Open Date: 2/13/2009 12:00:00 AM,(909) 978-6046,21560 Valley Blvd.,City of Industry,CA,91789,USA
-118.22107,33.87742,24 Hour Fitness - Compton Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; TRX Suspension Training; Whirlpool; Club Number: 00916; Open Date: 5/2/2008 12:00:00 AM,(310) 735-9114,110 Towne Center Drive,Compton,CA,90220,USA
-122.061953,37.967271,24 Hour Fitness - Concord Cardio Equipment; Circuit Training; Coin Collect Lockers; Free Weights; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Whirlpool; Club Number: 00511; Open Date: 9/1/1987 12:00:00 AM,(925) 674-8412,359 Sun Valley Mall,Concord,CA,94520,USA
-117.523007,33.883623,24 Hour Fitness - Corona Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Pro Shop*; Sauna; Steam Room; TRX Suspension Training; Training Club 24 - IGNITE*; Whirlpool; Club Number: 00198; Open Date: 12/18/1998 12:00:00 AM,(951) 734-0121,275 Teller Street Suite 100,Corona,CA,92882,USA
-117.880876,33.6901,24 Hour Fitness - South Coast Metro Center Cardio Equipment; Circuit Training; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Personal Viewing Screens; Pro Shop*; Sauna; Steam Room; Strength Machines; TRX Suspension Training; Towel Service; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00078; Open Date: 12/10/2010 12:00:00 AM,(714) 751-2724,589 Anton Blvd,Costa Mesa,CA,92626,USA
-117.921493,33.6434,24 Hour Fitness - Costa Mesa Cardio Equipment; Coin Collect Lockers; Executive Lockers*; Free Weights; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; Whirlpool; Club Number: 00185; Open Date: 11/1/1996 12:00:00 AM,(949) 650-3600,555 West 19th Street,Costa Mesa,CA,92627,USA
-117.92329,33.673102,24 Hour Fitness - Costa Mesa Cardio Equipment; Coin Collect Lockers; Free Weights; Group Exercise; Kids' Club*; Personal Training*; Racquetball Court*; Sauna; Strength Machines; Training Club 24 - IGNITE*; Club Number: 00121; Open Date: 5/1/1982 12:00:00 AM,(714) 557-4401,1600 Adams Ave,Costa Mesa,CA,92626,USA
